rank,keyword,category,collected_at
1,원피스,패션의류>여성의류,2026-08-09T07:12:35
2,여름원피스,패션의류>여성의류,2026-08-09T07:12:35
3,블라우스,패션의류>여성의류,2026-08-09T07:12:35
4,플리츠원피스,패션의류>여성의류,2026-08-09T07:12:35
5,시슬리원피스,패션의류>여성의류,2026-08-09T07:12:35
6,잇미샤원피스,패션의류>여성의류,2026-08-09T07:12:35
7,에고이스트,패션의류>여성의류,2026-08-09T07:12:35
8,베네통원피스,패션의류>여성의류,2026-08-09T07:12:35
9,에고이스트원피스,패션의류>여성의류,2026-08-09T07:12:35
10,올리비아로렌,패션의류>여성의류,2026-08-09T07:12:35
11,듀엘원피스,패션의류>여성의류,2026-08-09T07:12:35
12,여성원피스,패션의류>여성의류,2026-08-09T07:12:35
13,여성반바지,패션의류>여성의류,2026-08-09T07:12:35
14,쉬즈미스원피스,패션의류>여성의류,2026-08-09T07:12:35
15,지고트원피스,패션의류>여성의류,2026-08-09T07:12:35
16,여름가디건,패션의류>여성의류,2026-08-09T07:12:35
17,샤틴원피스,패션의류>여성의류,2026-08-09T07:12:35
18,여름블라우스,패션의류>여성의류,2026-08-09T07:12:35
19,티셔츠,패션의류>여성의류,2026-08-09T07:12:35
20,써스데이아일랜드원피스,패션의류>여성의류,2026-08-09T07:12:35
21,린넨원피스,패션의류>여성의류,2026-08-09T07:12:35
22,쉬폰원피스,패션의류>여성의류,2026-08-09T07:12:35
23,제시뉴욕,패션의류>여성의류,2026-08-09T07:12:35
24,잇미샤,패션의류>여성의류,2026-08-09T07:12:35
25,써스데이아일랜드,패션의류>여성의류,2026-08-09T07:12:35
26,bcbg원피스,패션의류>여성의류,2026-08-09T07:12:35
27,리스트블라우스,패션의류>여성의류,2026-08-09T07:12:35
28,리스트원피스,패션의류>여성의류,2026-08-09T07:12:35
29,모조에스핀,패션의류>여성의류,2026-08-09T07:12:35
30,자라,패션의류>여성의류,2026-08-09T07:12:35
31,써스데이원피스,패션의류>여성의류,2026-08-09T07:12:35
32,민소매원피스,패션의류>여성의류,2026-08-09T07:12:35
33,블라우스/셔츠,패션의류>여성의류,2026-08-09T07:12:35
34,플리츠미원피스,패션의류>여성의류,2026-08-09T07:12:35
35,여성블라우스,패션의류>여성의류,2026-08-09T07:12:35
36,모조에스핀원피스,패션의류>여성의류,2026-08-09T07:12:35
37,온앤온원피스,패션의류>여성의류,2026-08-09T07:12:35
38,럭키슈에뜨원피스,패션의류>여성의류,2026-08-09T07:12:35
39,카프리팬츠,패션의류>여성의류,2026-08-09T07:12:35
40,시슬리,패션의류>여성의류,2026-08-09T07:12:35
